area,city,latitude,longitude,population_density,avg_income,avg_rent,metro_distance_km,hospitals_nearby,schools_nearby,competition_score,office_density,growth_rate,sentiment_score,pop_norm,income_norm,metro_norm,hospitals_norm,schools_norm,office_norm,growth_norm,sentiment_norm,rent_norm,competition_norm,opportunity_score
Sector 18,Noida,28.57,77.326,85,75000,85000,0.3,8,12,8.5,9.0,5.5,8.5,0.8,0.574468085106383,0.47959183673469385,0.5555555555555556,0.6666666666666666,0.9166666666666666,0.3125,0.8333333333333334,0.17550626808100292,0.054298642533936674,52.3
Sector 62,Noida,28.627,77.368,72,82000,55000,0.5,5,15,6.0,8.5,8.0,7.5,0.54,0.723404255319149,0.30612244897959184,0.2222222222222222,1.0,0.8333333333333334,0.625,0.5,0.39642324888226527,0.2692307692307692,52.91
Sector 63,Noida,28.621,77.381,68,78000,50000,1.2,4,12,5.5,8.0,8.5,7.0,0.46,0.6382978723404256,0.11930926216640501,0.1111111111111111,0.6666666666666666,0.75,0.6875,0.3333333333333333,0.459016393442623,0.33566433566433573,47.36
Sector 15,Noida,28.583,77.316,78,70000,60000,0.8,6,14,7.0,7.5,6.0,7.5,0.66,0.46808510638297873,0.1904761904761905,0.3333333333333333,0.8888888888888888,0.6666666666666666,0.375,0.5,0.3442622950819672,0.16483516483516483,42.16
Sector 50,Noida,28.568,77.354,70,80000,65000,1.0,5,13,6.5,8.0,7.0,8.0,0.5,0.6808510638297872,0.1484230055658627,0.2222222222222222,0.7777777777777778,0.75,0.5,0.6666666666666666,0.3001261034047919,0.21301775147929003,46.74
Sector 137,Noida,28.508,77.357,55,65000,40000,2.5,3,9,4.5,6.0,10.0,7.0,0.2,0.3617021276595745,0.039246467817896376,0.0,0.3333333333333333,0.4166666666666667,0.875,0.3333333333333333,0.6311475409836066,0.5128205128205128,41.08
Sector 76,Noida,28.574,77.383,60,68000,45000,1.8,4,11,5.0,6.5,9.5,7.5,0.3,0.425531914893617,0.06874328678839957,0.1111111111111111,0.5555555555555556,0.5,0.8125,0.5,0.53551912568306,0.41538461538461546,43.61
Sector 44,Noida,28.561,77.319,65,72000,48000,1.5,5,12,5.5,7.0,8.0,7.5,0.4,0.5106382978723404,0.08928571428571429,0.2222222222222222,0.6666666666666666,0.5833333333333334,0.625,0.5,0.48770491803278687,0.33566433566433573,43.44
Cyber City,Gurgaon,28.495,77.087,90,95000,120000,0.2,10,8,9.0,9.5,6.0,9.0,0.9,1.0,0.6530612244897959,0.7777777777777778,0.2222222222222222,1.0,0.375,1.0,0.057377049180327884,0.02564102564102564,64.75
Sohna Road,Gurgaon,28.423,77.042,62,85000,75000,2.0,6,10,6.0,7.0,9.0,8.0,0.34,0.7872340425531915,0.058309037900874626,0.3333333333333333,0.4444444444444444,0.5833333333333334,0.75,0.6666666666666666,0.22950819672131148,0.2692307692307692,46.52
MG Road,Gurgaon,28.48,77.08,88,90000,95000,0.4,9,9,8.5,9.0,5.5,8.5,0.86,0.8936170212765957,0.37551020408163266,0.6666666666666666,0.3333333333333333,0.9166666666666666,0.3125,0.8333333333333334,0.13287316652286454,0.054298642533936674,56.0
Sector 56,Gurgaon,28.423,77.08,65,80000,70000,2.5,5,11,5.5,7.0,8.0,7.5,0.4,0.6808510638297872,0.039246467817896376,0.2222222222222222,0.5555555555555556,0.5833333333333334,0.625,0.5,0.2622950819672131,0.33566433566433573,42.99
Golf Course Road,Gurgaon,28.458,77.102,75,88000,90000,1.5,7,10,7.5,8.5,7.0,8.5,0.6,0.851063829787234,0.08928571428571429,0.4444444444444444,0.4444444444444444,0.8333333333333334,0.5,0.8333333333333334,0.15300546448087432,0.1230769230769231,50.03
Udyog Vihar,Gurgaon,28.501,77.068,82,85000,80000,1.8,6,8,7.0,9.0,6.5,8.0,0.74,0.7872340425531915,0.06874328678839957,0.3333333333333333,0.2222222222222222,0.9166666666666666,0.4375,0.6666666666666666,0.20081967213114754,0.16483516483516483,49.99
Sector 14,Gurgaon,28.472,77.035,70,75000,65000,2.0,5,9,6.0,7.5,7.5,7.5,0.5,0.574468085106383,0.058309037900874626,0.2222222222222222,0.3333333333333333,0.6666666666666666,0.5625,0.5,0.3001261034047919,0.2692307692307692,42.79
Connaught Place,Delhi,28.633,77.2197,95,88000,150000,0.1,12,6,9.5,8.5,3.0,8.0,1.0,0.851063829787234,1.0,1.0,0.0,0.8333333333333334,0.0,0.6666666666666666,0.0,0.0,57.77
